Source,Target,Weight
365,164,19.75
365,153,12.5
365,20,621
365,205,1218.1
365,339,468.71
365,202,76.4
365,16,47.3333
365,204,497.968
365,366,1566.31
365,220,758.067
365,23,446.839
365,218,105.806
365,208,309.161
365,209,580.323
365,222,254.095
365,211,266.226
365,203,534.867
365,206,77.6452
365,207,202.806
365,21,1319.52
365,342,1253.97
365,210,1757.57
365,278,52.4615
365,26,20.0333
365,191,20.4194
365,197,23.3
365,223,45.2593
365,89,10
365,364,33.3871
365,358,25.7037
365,25,17.5
365,368,347.677
365,190,11.9091
365,234,165.75
365,224,20.8333
365,226,13.1429
365,143,13.5652
365,266,12.5833
365,225,12.5833
365,341,85.2727
365,196,45.7308
365,219,40.7097
365,199,19.6333
365,19,82.0667
365,214,71
365,216,94.2308
365,221,99.7037
365,215,65.2941
365,299,21.9677
365,163,11.9167
365,155,10
365,181,13.7619
365,158,25.4194
365,162,12.1111
365,233,33.3226
365,200,13
365,367,66.9
365,159,14.6
365,375,13.125
365,156,10
365,180,14.5909
365,160,12.3684
365,213,49.1613
365,201,20.4138
365,192,14.9565
365,178,11.8333
365,238,12.3636
365,152,12.3333
365,229,12.5556
365,241,12.5
365,370,11.25
365,198,10
365,371,11
365,113,10.5
365,281,10
365,234|365,159.296
365,215|365,73.2857
365,83|365,202.032
365,210|365,1149
365,341|365,94.6
365,236,10
365,84|365,188.321
365,278|365,64.6
365,223|365,57
365,222|365,162.1
365,161,25
365,216|365,91.3889
365,221|365,74.25
365,367|365,68.8182
365,214|365,83.125
365,366|365,1300.5
365,196|365,52.4
365,340|365,309.333
365,342|365,1259
365,19|365,64
365,369|365,52
365,203|365,569
365,202|365,54
365,220|365,740
365,363|365,2462
365,16|365,64
83|220,234|83,10.3333
83|220,21,12
234|83,84,10
234|83,83,29.6667
234|83,363,12.6875
234|83,365,13.6364
234|83,20,13.0833
234|83,205,11
234|83,204,12
234|83,366,11.25
234|83,209,13
234|83,207,10
234|83,21,26.4444
234|83,342,13.0667
234|83,210,20.5625
234|83,220|234,11
234|83,84|234,13
234|83,342|234,11
234|83,207|234,10
234|83,365|234,10
234|83,20|234,11
234|83,366|234,11.6667
234|83,22|234,10.25
234|83,83|234,37
234|83,222|234,10.5
234|83,210|234,12
25|190,191|25,22
191|25,340,14.2
191|25,25,20.3333
191|25,190,10
191|25,143,15.5
191|25,192,18
191|25,190|191,17.5
191|25,212|191,15
191|25,340|191,11
191|25,192|191,12
191|25,25|191,18.6667
191|25,143|191,15.6667
28,340,10.5
28,164,13
28,153,16
28,196,12
28,215,15.3333
164,340,64.5217
164,22,12.3333
164,217,31.2581
164,212,25.5
164,84,22.3929
164,83,54.0968
164,363,14.2143
164,365,11.3333
164,28,10
164,153,48.4194
164,20,10.5
164,205,11.5
164,366,12.4706
164,220,14.5833
164,23,28.9677
164,209,13.9412
164,222,37.9
164,211,44.7333
164,207,11
164,21,12.7391
164,342,16.1034
164,210,12.8
164,191,20.875
164,25,18.8182
164,368,13.875
164,190,14.5556
164,234,14.7619
164,143,15
164,341,48.3871
164,196,46.129
164,214,15.6818
164,216,38.2258
164,221,12.6
164,215,79.3333
164,163,59.3548
164,181,101.278
164,158,25.7742
164,162,38.2143
164,142,13.6667
164,159,32.7667
164,375,12.9091
164,156,15
164,180,54.3226
164,157,13
164,160,39.6429
164,192,16
164,178,16.5833
164,152,20.7143
164,149,14.4
164,151,12
164,29,14.1111
164,27,13.4545
164,340|164,95
164,182,13.1
164,187,12
164,211|164,42
164,181|164,168.923
164,215|164,116.7
164,160|164,94
164,162|164,70.6667
164,159|164,56
164,222|164,61
153,340,58.7273
153,22,11.6667
153,217,24.1667
153,212,26.871
153,84,20.5714
153,83,56.1613
153,363,13.2381
153,365,11.25
153,164,26.3793
153,20,11
153,205,10.5
153,204,10
153,366,11.5714
153,220,13.7
153,23,24.2581
153,218,10
153,208,13
153,209,13.7778
153,222,20.5862
153,211,37.871
153,21,12.1333
153,342,14.0667
153,210,10.8571
153,191,28.7143
153,223,10
153,25,16.1333
153,368,13
153,190,13.1667
153,234,15.2174
153,143,10.5
153,341,22.4138
153,196,39.0968
153,214,10.3333
153,216,30.1613
153,221,10
153,215,60.2174
153,163,68.9667
153,155,10.3333
153,181,50.7742
153,158,14.6429
153,162,14.2727
153,159,15.4
153,375,12.5
153,156,13
153,180,40.7419
153,157,19.2609
153,160,14.5625
153,213,15
153,192,22.05
153,178,26.1724
153,152,14.2
153,149,14.25
153,27,15.8182
153,182,15.3333
153,215|153,122.125
153,340|153,120.444
153,187,10
153,164|153,66
153,163|153,161
153,191|153,75.3333
208|341,20,21
20,340,247.9
20,22,612.548
20,217,985.167
20,212,225.2
20,84,287
20,61,10.75
20,363,2338.43
20,369,55.44
20,365,716.414
20,164,20.1333
20,153,14.1429
20,17,10
20,205,1252.42
20,339,733.8
20,202,104.143
20,16,104.12
20,204,407.065
20,366,464.452
20,220,298.387
20,23,446.355
20,218,552.452
20,208,3461.52
20,209,2763.52
20,222,228.08
20,211,392.355
20,203,1111.5
20,206,57.5806
20,207,1550.67
20,21,5097.96
20,342,2286.32
20,210,1983.42
20,278,60.64
20,26,24.6129
20,191,24.4194
20,197,83.5714
